id,own,competing1,competing2,borrowertype,accepted,default,profit
100001,.118,.405,,0,1,0,1180
100002,,.092713565,.6209625,2,0,1,
100003,,.060536075,.09574917,0,0,0,
100004,.123,.15908191,.062737852,0,0,0,
100005,,.94455957,.30943397,3,0,0,
100006,.077,.26791456,,0,1,0,770
100007,.111,.21351427,.059999999,2,0,0,
100008,,.62,,0,0,0,
100009,.094,.075000003,.16234024,0,0,0,
100010,,.056332763,,0,0,0,
100011,,.47999999,.56854385,0,0,0,
100012,,.76855743,,0,0,1,
100013,,.1145015,,0,0,0,
100014,,.23,.54790002,2,0,1,
100015,,.117,.20999999,0,0,0,
100016,,,,0,0,0,
100017,,.40000001,.6209625,1,0,0,
100018,,.12333779,.19385965,2,0,0,
100019,.051,.070244677,.18231365,0,1,0,510
100020,,.17,,0,0,0,
100021,,.16,.092173688,0,0,0,
100022,,.38091454,.4560127,0,0,0,
100023,,.10422387,.050224788,0,0,0,
100024,,.1,.11,0,0,0,
100025,,.73299998,.27359682,1,0,1,
100026,.106,.37823597,.57434464,0,1,0,1060
100027,,,.25779885,0,0,0,
100028,,.18302053,.20961969,0,0,1,
100029,.068,.19,.47285679,0,1,0,680
100030,,.074325368,.19,0,0,0,
100031,.125,.43000001,.34232023,0,1,0,1250
100032,,.491,.40606663,2,0,0,
100033,,,,0,0,1,
100034,,.15099999,.25582945,3,0,0,
100035,.119,.11827026,.20728996,0,0,0,
100036,.095,.08269684,.23654412,0,0,0,
100037,,1,.4602564,0,0,0,
100038,,.15908191,.3129482,2,0,1,
100039,,.40000001,,3,0,1,
100040,,.40000001,,3,0,0,
100041,,1,.42225185,0,0,0,
100042,,.35606766,.25929397,3,0,1,
100043,,.20999999,,0,0,0,
100044,,.063141733,.22,2,0,0,
100045,.109,.1,.059999999,2,0,1,
100046,.106,.17,.23512909,1,1,0,1060
100047,.116,.051278923,.062737852,0,0,0,
100048,,.29773176,.26280251,0,0,0,
100049,.056,.11550717,.12366403,2,1,0,560
100050,.126,.40000001,.095270127,2,0,0,
100051,,.163,,0,0,0,
100052,,.37099999,.46518347,0,0,1,
100053,,.28799999,.5392977,0,0,0,
100054,.097,.19302052,.062737852,0,0,0,
100055,,.40000001,.20959143,0,0,0,
100056,,.042214707,,0,0,0,
100057,,.4178547,,0,0,1,
100058,,.31889704,,0,0,1,
